iter	Passed	Remaining
414	3752	5289
415	3761	5280
416	3770	5272
417	3781	5265
418	3792	5258
419	3801	5249
420	3810	5240
421	3819	5231
422	3829	5223
423	3838	5215
424	3849	5207
425	3858	5198
426	3867	5189
427	3876	5180
428	3888	5175
429	3897	5167
430	3905	5156
431	3914	5146
432	3922	5136
433	3931	5127
434	3939	5117
435	3948	5107
436	3957	5099
437	3966	5089
438	3974	5079
439	3984	5071
440	3993	5061
441	4001	5051
442	4009	5041
443	4019	5032
444	4027	5023
445	4036	5014
446	4045	5004
447	4054	4995
448	4062	4985
449	4070	4975
450	4078	4964
451	4087	4955
452	4095	4945
453	4104	4936
45453	4157	49945454	4167	49945455	4176	49845456	4184	49745457	4193	49645458	4201	49546459	4209	49446460	4218	49346461	4228	49246462	4240	49146463	4248	49046464	4257	48946465	4267	48946466	4276	48846467	4285	48746468	4294	48647469	4302	48547470	4309	48447471	4319	48347472	4326	48247473	4334	48047474	4343	48047475	4360	47947476	4369	47947477	4377	47847478	4386	47748479	4395	47648480	4404	47548481	4413	474483	4379	4668
484	4388	4659
485	4396	4650
486	4406	4641
487	4414	4631
488	4426	4625
489	4436	4617
490	4446	4609
491	4454	4599
492	4462	4589
493	4471	4580
494	4482	4572
495	4490	4563
496	4500	4554
497	4510	4546
498	4519	4537
499	4528	4528
500	4536	4518
501	4545	4509
502	4556	4502
503	4565	4492
504	4573	4483
505	4582	4473
506	4590	4464
507	4599	4454
508	4609	4446
509	4616	4435
510	4627	4428
511	4636	4418
512	4645	4409
513	4653	4400
514	4662	4391
515	4670	4381
516	4680	4372
517	4687	4362
518	4696	4352
519	4707	4344
520	4715	4335
521	4724	4325
522	4733	4317
523	4742	4307
524	4752	4299
525	4761	4290
526	4769	4280
527	4778	4271
528	4788	4263
529	4798	4254
530	4806	4245
531	4816	4237
532	4825	4227
533	4832	4217
534	4841	4207
535	4850	4198
536	4858	4189
537	4867	4179
538	4879	4173
539	4888	4164
540	4898	4155
541	4906	4146
542	4916	4137
543	4924	4127
544	4931	4117
545	4940	4107
546	4950	4099
547	4958	4090
548	4966	4079
549	4975	4070
550	4983	4061
551	4992	4051
552	5000	4041
553	5007	4031
554	5015	4021
555	5023	4011
556	5033	4002
557	5041	3993
558	5050	3984
559	5059	3975
560	5068	3966
561	5076	3956
562	5085	3947
563	5095	3939
564	5103	3929
565	5113	3920
566	5122	3911
567	5130	3901
568	5139	3892
569	5150	3885
570	5159	3876
571	5167	3866
572	5176	3857
573	5184	3847
574	5194	3839
575	5202	3829
576	5210	3819
577	5220	3811
578	5229	3802
579	5238	3793
580	5245	3783
581	5255	3774
582	5264	3765
583	5273	3756
584	5281	3746
585	5289	3737
586	5300	3729
587	5307	3718
