iter	Logloss
342	0.34511174213343	0.34499783453344	0.34491781483345	0.34481030263346	0.34473966013347	0.34465333493348	0.34457838
349	0.3445109612
350	0.34444621493351	0.34434671813352	0.34427364033353	0.34418035853354	0.344103847
355	0.3436801752
356	0.3435901164
357	0.3434793958
358	0.3437290696
359	0.3436485233
360	0.3435751632
361	0.3435035157
362	0.34341287823363	0.34322666683364	0.34312022813365	0.34305024833366	0.34298066273367	0.34286787963368	0.34277465613369	0.34272494237370	0.34267878837371	0.34261266137372	0.3425639813373	0.34246764937374	0.34234848337375	0.3422848437376	0.34221713837377	0.34216823137378	0.34212171637379	0.34204527738380	0.34191172438381	0.34185765338382	0.34178814838383	0.34170553938384	0.3415936863385	0.34141466233386	0.341361749
387	0.3412699333
388	0.3412127436
389	0.3411111224
390	0.3410298686
391	0.3409633609
392	0.340858676
393	0.340764083
394	0.3406921529
395	0.3406067596
396	0.340316727
397	0.3402384933
398	0.3401603111
399	0.3400756458
400	0.3399876086
401	0.339912518
402	0.3398088505
403	0.3396953328
404	0.3395891315
405	0.3395328279
406	0.3394593043
407	0.339377057
408	0.3391301865
409	0.3390553558
410	0.3389989523
411	0.3389376674
412	0.3388733333
413	0.3387981882
414	0.3387228555
415	0.3386483417
416	0.3385465443
417	0.3384492021
418	0.3383812837
419	0.3383046651
420	0.3382246019
421	0.33816959634422	0.33810392042423	0.33800851342424	0.33793277442425	0.33786204842426	0.33780854242427	0.3377092574428	0.33765822864429	0.33760691314430	0.33751226684431	0.33744644274432	0.33723110643433	0.33716138543434	0.33711036543435	0.33701844943436	0.33694518043437	0.33685077043438	0.33678770143439	0.33674871744440	0.33667045444441	0.33658896444442	0.33649993044443	0.33645282544444	0.33639201445445	0.336321446	0446	0.336258447	0447	0.336152448	0448	0.33605449	0.449	0.33598450	0.450	0.33591451	0.451	0.33579452	0.452	0.33567453	0.453	0.3356195957
454	0.3355107428
455	0.3354282192
456	0.3353530538
457	0.3351497235
458	0.3350641678
459	0.3350166775
460	0.334953604
461	0.3348916328
462	0.334788705
463	0.3347308725
464	0.3346650441
465	0.3345895691
466	0.3345434773
467	0.3344663308
468	0.3344096405
469	0.3343018327
470	0.3342227737
471	0.3341554052
472	0.3340881548
473	0.3340092853
474	0.3339295544
475	0.3338418918
476	0.3337695126
477	0.3337109514
478	0.3336436965
479	0.3335553416
480	0.3334770814
481	0.3334158581
482	0.3333483	0.3483	0.3332484	0.3484	0.333485	0.33485	0.333486	0.33486	0.333487	0.33487	0.332488	0.33488	0.332489	0.3324323812
490	0.3323417069
491	0.3322611391
492	0.3322174694
493	0.3321329599
494	0.3320597316
495	0.3320123052
496	0.3319476854
497	0.3318834263
498	0.331812906
499	0.331752549
500	0.3316912782
501	0.331620588
502	0.331573164
503	0.3314945721
504	0.3314099539
505	0.3313452252
506	0.3312391903
507	0.3311830463
508	0.3310818665
509	0.3309989263
510	0.3309307429
511	0.330855356
512	0.3307680588
513	0.3307273043
514	0.3306360408
515	0.3305937796
516	0.3305325382
517	0.3304839895
518	0.3304204617
519	0.3303767974
520	0.3303144913
521	0.3302601085
522	0.3301749177
523	0.3301020356
524	0.3300322128
525	0.3299933491
526	0.3299307433
527	0.3298324306
528	0.3297519888
529	0.3296776488
530	0.3296072355
531	0.3295536888
532	0.3294248747
533	0.3293219542
534	0.3292746885
535	0.3291981174
536	0.3291289541
537	0.329056737
538	0.3289455763
539	0.3288791568
540	0.3287927962
541	0.3287200215
542	0.3285686923
543	0.3285245136
544	0.3284477492
545	0.3283545028
546	0.3282722886
547	0.3282191162
548	0.3281535807
549	0.3279521669
550	0.3279031229
551	0.3278259843
552	0.3277565972
553	0.3276878544
554	0.327637971
555	0.3275697434
556	0.3274929295
557	0.3274419931
558	0.3273563753
559	0.3272138765
560	0.3271541523
561	0.3270893792
562	0.3270210668
563	0.3269672084
564	0.3268733788
565	0.3268189302
566	0.3267347544
567	0.326567	0.32568	0.3266190567
569	0.3265586674
570	0.3264813768
571	0.3264109998
572	0.3263444402
573	0.3262854177
574	0.3262005922
575	0.3261062265
576	0.326044819
577	0.3259859307
578	0.3259243421
579	0.3258631536
580	0.3258214568
581	0.3257820109
582	0.3257089479
583	0.3256558834
584	0.3256042905
585	0.3255460343
586	0.3254674838
587	0.325401669
588	0.3253273184
589	0.3252747621
590	0.325205126
591	0.3251395448
592	0.3250876386
593	0.3250158673
594	0.3249655962
595	0.3248922648
596	0.3248169513
597	0.3247662043
598	0.324656292
599	0.3246063981
600	0.3245380279
601	0.3244574886
602	0.3243991436
603	0.3243366358
